dataset,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,param_max_features,param_n_estimators
uci,Decision Tree,0.03685140609741211,0.00554968122200035,0.005275535583496094,0.00040238443730847235,balanced,,1.0,10,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.03825879096984863,0.010318924333775209,0.006393861770629883,0.0010091100133331257,balanced,,2.0,2,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.039443159103393556,0.012240917305816855,0.005413722991943359,0.0006337105806007576,balanced,,2.0,5,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.04250011444091797,0.009214522665307973,0.009900236129760742,0.009129031902617896,balanced,,2.0,10,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.037070274353027344,0.005979285341307778,0.004974460601806641,0.0005967492842591684,balanced,,4.0,2,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.04098968505859375,0.012010501788392578,0.006222200393676758,0.0009458546653872505,balanced,,4.0,5,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.05165014266967773,0.02412887946062651,0.005258512496948242,0.0008058909176738968,balanced,,4.0,10,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.048044586181640626,0.013214620215005742,0.007691574096679687,0.003202747117227524,balanced,5,1.0,2,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,0.9996009577015164,0.9996009577015164,0.9996011168727563,0.9996011168727563,0.999680829829709,0.0001595851010213099,,
uci,Decision Tree,0.051519346237182614,0.02796578015234471,0.0140838623046875,0.016771964942873988,balanced,5,1.0,5,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,0.9996009577015164,0.9996009577015164,0.9996011168727563,0.9996011168727563,0.999680829829709,0.0001595851010213099,,
uci,Decision Tree,0.04560971260070801,0.01736007263281787,0.006724357604980469,0.0010861827353791675,balanced,5,1.0,10,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,0.9996009577015164,0.9996009577015164,0.9996011168727563,0.9996011168727563,0.999680829829709,0.0001595851010213099,,
uci,Decision Tree,0.04125776290893555,0.016643273819377812,0.005718660354614258,0.0012275636973930598,balanced,5,2.0,2,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9936204146730463,1.0,1.0,0.9984025559105432,1.0,0.9984045941167178,0.0024708029828688404,85,0.9996009577015164,0.9992019154030327,0.9992019154030327,0.9992022337455125,0.9992022337455125,0.9992818511997215,0.00015955331441353763,,
uci,Decision Tree,0.05394306182861328,0.031227131819051665,0.01094989776611328,0.008070192554030534,balanced,5,2.0,5,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9936204146730463,1.0,1.0,0.9984025559105432,1.0,0.9984045941167178,0.0024708029828688404,85,0.9996009577015164,0.9992019154030327,0.9992019154030327,0.9992022337455125,0.9992022337455125,0.9992818511997215,0.00015955331441353763,,
